Season,League,League,G,RS,RA,OBP,SLG,BA,OOBP,OSLG,W,Playoffs
2011,CHC,NL,162,654,756,0.314,0.401,0.256,0.335,0.413,71,0
2011,CHW,AL,162,654,706,0.319,0.388,0.252,0.317,0.397,79,0
2011,CIN,NL,162,735,720,0.326,0.408,0.256,0.325,0.415,79,0
2011,CLE,AL,162,704,760,0.317,0.396,0.25,0.323,0.413,80,0
2011,COL,NL,162,735,774,0.329,0.41,0.258,0.331,0.431,73,0
2011,DET,AL,162,787,711,0.34,0.434,0.277,0.321,0.396,95,1
2011,FLA,NL,162,625,702,0.318,0.388,0.247,0.316,0.401,72,0
2011,HOU,NL,162,615,796,0.311,0.374,0.258,0.337,0.432,56,0
2011,KCR,AL,162,730,762,0.329,0.415,0.275,0.337,0.425,71,0
2011,LAA,AL,162,667,633,0.313,0.402,0.253,0.313,0.388,86,0
2011,LAD,NL,161,644,612,0.322,0.375,0.257,0.31,0.371,82,0
2011,MIL,NL,162,721,638,0.325,0.425,0.261,0.304,0.385,96,1
2011,MIN,AL,162,619,804,0.306,0.36,0.247,0.34,0.435,63,0
2011,NYM,NL,162,718,742,0.335,0.391,0.264,0.332,0.411,77,0
2011,NYY,AL,162,867,657,0.343,0.444,0.263,0.322,0.399,97,1
2011,OAK,AL,162,645,679,0.311,0.369,0.244,0.317,0.378,74,0
2011,PHI,NL,162,713,529,0.323,0.395,0.253,0.296,0.361,102,1
2011,PIT,NL,162,610,712,0.309,0.368,0.244,0.338,0.409,72,0
2011,SDP,NL,162,593,611,0.305,0.349,0.237,0.314,0.375,71,0
2011,SEA,AL,162,556,675,0.292,0.348,0.233,0.31,0.386,67,0
2011,SFG,NL,162,570,578,0.303,0.368,0.242,0.309,0.346,86,0
2011,STL,NL,162,762,692,0.341,0.425,0.273,0.319,0.398,90,1
2011,TBR,AL,162,707,614,0.322,0.402,0.244,0.303,0.383,91,1
2011,TEX,AL,162,855,677,0.34,0.46,0.283,0.307,0.392,96,1
2011,TOR,AL,162,743,761,0.317,0.413,0.249,0.328,0.419,81,0
2011,WSN,NL,161,624,643,0.309,0.383,0.242,0.319,0.382,80,0
2010,ARI,NL,162,713,836,0.325,0.416,0.25,0.34,0.448,65,0
2010,ATL,NL,162,738,629,0.339,0.401,0.258,0.314,0.376,91,1
2010,BAL,AL,162,613,785,0.316,0.386,0.259,0.336,0.434,66,0
2010,BOS,AL,162,818,744,0.339,0.451,0.268,0.327,0.399,89,0
2010,CHC,NL,162,685,767,0.32,0.401,0.257,0.334,0.398,75,0
2010,CHW,AL,162,752,704,0.332,0.42,0.268,0.325,0.395,88,0
2010,CIN,NL,162,790,685,0.338,0.436,0.272,0.323,0.396,91,1
2010,CLE,AL,162,646,752,0.322,0.378,0.248,0.342,0.416,69,0
2010,COL,NL,162,770,717,0.336,0.425,0.263,0.326,0.397,83,0
2010,DET,AL,162,751,743,0.335,0.415,0.268,0.332,0.4,81,0
2010,FLA,NL,162,719,717,0.321,0.403,0.254,0.331,0.398,80,0
2010,HOU,NL,162,611,729,0.303,0.362,0.247,0.33,0.402,76,0
2010,KCR,AL,162,676,845,0.331,0.399,0.274,0.342,0.435,67,0
2010,LAA,AL,162,681,702,0.311,0.39,0.248,0.327,0.403,80,0
2010,LAD,NL,162,667,692,0.322,0.379,0.252,0.316,0.378,80,0
2010,MIL,NL,162,750,804,0.335,0.424,0.262,0.338,0.427,77,0
2010,MIN,AL,162,781,671,0.341,0.422,0.273,0.317,0.417,94,1
2010,NYM,NL,162,656,652,0.314,0.383,0.249,0.33,0.394,79,0
2010,NYY,AL,162,859,693,0.35,0.436,0.267,0.322,0.399,95,1
2010,OAK,AL,162,663,626,0.324,0.378,0.256,0.313,0.379,81,0
2010,PHI,NL,162,772,640,0.332,0.413,0.26,0.311,0.405,97,1
2010,PIT,NL,162,587,866,0.304,0.373,0.242,0.348,0.449,57,0
2010,SDP,NL,162,665,581,0.317,0.371,0.246,0.308,0.368,90,0
2010,SEA,AL,162,513,698,0.298,0.339,0.236,0.313,0.401,61,0
2010,SFG,NL,162,697,583,0.321,0.408,0.257,0.313,0.37,92,1
2010,STL,NL,162,736,641,0.332,0.402,0.263,0.319,0.387,86,0
2010,TBR,AL,162,802,649,0.333,0.403,0.247,0.308,0.404,96,1
2010,TEX,AL,162,787,687,0.338,0.419,0.276,0.319,0.39,90,1
2010,TOR,AL,162,755,728,0.312,0.454,0.248,0.326,0.405,85,0
2010,WSN,NL,162,655,742,0.318,0.39,0.25,0.33,0.41,69,0
2009,ARI,NL,162,720,782,0.324,0.418,0.253,0.33,0.419,70,0
2009,ATL,NL,162,735,641,0.339,0.405,0.263,0.323,0.39,86,0
2009,BAL,AL,162,741,876,0.332,0.415,0.268,0.353,0.476,64,0
2009,BOS,AL,162,872,736,0.352,0.454,0.27,0.335,0.422,95,1
2009,CHC,NL,161,707,672,0.332,0.407,0.255,0.324,0.391,83,0
2009,CHW,AL,162,724,732,0.329,0.411,0.258,0.325,0.414,79,0
2009,CIN,NL,162,673,723,0.318,0.394,0.247,0.333,0.418,78,0
2009,CLE,AL,162,773,865,0.339,0.417,0.264,0.351,0.443,65,0
2009,COL,NL,162,804,715,0.343,0.441,0.261,0.328,0.405,92,1
2009,DET,AL,163,743,745,0.331,0.416,0.26,0.336,0.422,86,0
2009,FLA,NL,162,772,766,0.34,0.416,0.268,0.333,0.408,87,0
2009,HOU,NL,162,643,770,0.319,0.4,0.26,0.344,0.44,74,0
2009,KCR,AL,162,686,842,0.318,0.405,0.259,0.343,0.422,65,0
